City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Zarubino,RU,2022-03-01 19:48:24,42.63,131.0922,29.19,55,0,9.28
217,Gigmoto,PH,2022-03-01 19:48:25,13.7796,124.39,77.63,89,100,8.48
218,Jiayuguan,CN,2022-03-01 19:48:25,39.8167,98.3,29.12,43,0,4.0
219,Rundu,NA,2022-03-01 19:48:26,-17.9333,19.7667,73.08,62,34,4.23
220,Butimanu,RO,2022-03-01 19:48:26,44.6833,25.9,34.14,98,100,5.97
221,Deolali,IN,2022-03-01 19:48:26,19.95,73.8333,72.05,29,0,2.68
222,Turbat,PK,2022-03-01 19:48:27,26.0023,63.044,71.8,70,12,5.48
223,Hambantota,LK,2022-03-01 19:48:27,6.1241,81.1185,77.11,72,100,14.5
224,Praia Da Vitoria,PT,2022-03-01 19:48:28,38.7333,-27.0667,64.65,77,40,20.8
225,Mariental,NA,2022-03-01 19:48:28,-24.6333,17.9667,81.99,10,54,13.8
226,Anloga,GH,2022-03-01 19:48:28,5.7947,0.8973,84.42,84,90,11.52
227,Souillac,MU,2022-03-01 19:48:29,-20.5167,57.5167,81.36,83,75,11.5
228,Havelock,US,2022-03-01 19:48:29,34.8791,-76.9013,67.98,61,75,6.91
229,Waingapu,ID,2022-03-01 19:48:29,-9.6567,120.2641,78.15,88,100,9.51
230,Luau,AO,2022-03-01 19:49:30,-10.7073,22.2247,65.14,98,96,4.43
231,Bathsheba,BB,2022-03-01 19:49:30,13.2167,-59.5167,84.81,65,20,19.57
232,Sombrio,BR,2022-03-01 19:49:31,-29.1139,-49.6167,74.93,82,100,8.99
233,Atherton,GB,2022-03-01 19:49:31,53.5237,-2.4935,44.74,78,41,3.0
234,Berlevag,NO,2022-03-01 19:47:53,70.8578,29.0864,35.6,93,75,20.71
235,Kavieng,PG,2022-03-01 19:49:32,-2.5744,150.7967,79.34,84,100,10.71
236,Pacific Grove,US,2022-03-01 19:45:46,36.6177,-121.9166,74.8,55,0,5.99
237,Anito,PH,2022-03-01 19:49:32,12.4497,125.2886,78.13,89,88,9.44
238,Charters Towers,AU,2022-03-01 19:49:33,-20.1,146.2667,78.33,73,79,7.87
